"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"95";"47";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"793.7";"763.28";"1192.0";"871.0";"L4.11+";"L4.11+";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"96";"47";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"578.27";"763.28";"1192.0";"871.0";"L3.12+";"L3.12+";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"97";"47";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"1009.13";"763.28";"1192.0";"871.0";"L3-";"L3-";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"98";"47";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"1054.49";"763.28";"1192.0";"871.0";"L3.12+";"L3.12+";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"99";"47";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"366.43";"1192.0";"871.0";"L2.0";"L2.0";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"100";"47";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"702.99";"366.43";"1192.0";"871.0";"L01";"L01";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"101";"47";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"578.27";"366.43";"1192.0";"871.0";"L2.11";"L2.11";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"102";"47";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"646.3";"366.43";"1192.0";"871.0";"L02";"L02";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"103";"48";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"158.74";"763.28";"1192.0";"871.0";"L3-";"L3-";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"104";"48";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"272.13";"763.28";"1192.0";"871.0";"L4-";"L4-";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"105";"48";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"317.48";"763.28";"1192.0";"871.0";"L4.12+";"L4.12+";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"106";"48";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"204.09";"763.28";"1192.0";"871.0";"L3.13+";"L3.13+";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"107";"48";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"763.28";"1192.0";"871.0";"L3-";"L3-";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"108";"48";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"748.35";"763.28";"1192.0";"871.0";"L4-";"L4-";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"109";"48";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"793.7";"763.28";"1192.0";"871.0";"L4.12+";"L4.12+";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"110";"48";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"578.27";"763.28";"1192.0";"871.0";"L3.13+";"L3.13+";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"111";"48";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"1009.13";"763.28";"1192.0";"871.0";"L3-";"L3-";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"112";"48";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"1054.49";"763.28";"1192.0";"871.0";"L3.13+";"L3.13+";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"113";"48";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"366.43";"1192.0";"871.0";"L2.0";"L2.0";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"114";"48";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"702.99";"366.43";"1192.0";"871.0";"L01";"L01";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
