"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"adr";"link";"plc";"Name";"var";"description";"pin";"ch";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"71";"93";"O_SPS";"C";"approved";"532.91";"553.52";"1192.0";"871.0";"A69.6";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"43";"CCHH 1144";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"72";"93";"O_SPS";"C";"approved";"668.98";"553.52";"1192.0";"871.0";"A69.7";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"45";"CCHH 1155";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"73";"96";"O_SPS";"C";"approved";"158.74";"542.18";"1192.0";"871.0";"A68.0";"/17d.5";"PLC-I";"-EG1.2/15";"Spare";"spare";"4";"CCHH 00";"plc_DO";"22";"104";"= 400";"+ 400SPS";"general";"general signals";""
"74";"96";"O_SPS";"C";"approved";"839.06";"542.18";"1192.0";"871.0";"A68.1";"/17d.5";"PLC-I";"-EG1.2/15";"Spare";"spare";"5";"CCHH 11";"plc_DO";"22";"104";"= 400";"+ 400SPS";"general";"general signals";""
"75";"97";"O_SPS";"C";"approved";"260.79";"542.18";"1192.0";"871.0";"A0.1";"/17a.3";"PLC-I";"-EG1.2/2";"=400-K104";"ready for switiching on control
voltage";"5";"CCHH 11";"plc_DO";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"76";"97";"O_SPS";"C";"approved";"124.72";"542.18";"1192.0";"871.0";"A0.0";"/17a.3";"PLC-I";"-EG1.2/2";"=400-K103";"400SPS control voltage on
after time";"4";"CCHH 00";"plc_DO";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"77";"97";"O_SPS";"C";"approved";"941.1";"542.18";"1192.0";"871.0";"A0.6";"/17a.3";"PLC-I";"-EG1.2/2";"=400-K107.1";"horn 2a";"10";"CCHH 66";"plc_DO";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"78";"97";"O_SPS";"C";"approved";"396.85";"542.18";"1192.0";"871.0";"A0.2";"/17a.3";"PLC-I";"-EG1.2/2";"=400-K105";"spare";"6";"CCHH 22";"plc_DO";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"79";"97";"O_SPS";"C";"approved";"532.91";"542.18";"1192.0";"871.0";"A0.3";"/17a.3";"PLC-I";"-EG1.2/2";"=400-K106";"disturb reset";"7";"CCHH 33";"plc_DO";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"80";"97";"O_SPS";"C";"approved";"668.98";"542.18";"1192.0";"871.0";"A0.4";"/17a.3";"PLC-I";"-EG1.2/2";"=400-K107";"horn";"8";"CCHH 44";"plc_DO";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"81";"97";"O_SPS";"C";"approved";"805.04";"542.18";"1192.0";"871.0";"A0.5";"/17a.3";"PLC-I";"-EG1.2/2";"=400-K108";"flashlamp";"9";"CCHH 55";"plc_DO";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
