"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Page";"Sheets";"=";"+";"txt_1";"txt_2";"txt_3";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"41";"41";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7n";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK5";"";"7n";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK5";""
"42";"42";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7o";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK6";"";"7o";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK6";""
"43";"43";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7p";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 428TK1 spar";"e";"7p";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 428TK1 spar";"e"
"44";"44";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7q";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 450TK1";"";"7q";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 450TK1";""
"45";"45";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7r";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400P1
spare";"";"7r";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400P1
spare";""
"46";"46";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";"";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"47";"47";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";"";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"48";"48";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";"";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"49";"49";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7w";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution TEXPAN BOX";"";"7w";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution TEXPAN BOX";""
"50";"50";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"8";"104";"= 400";"+ 400SPS";"magnetc belt adjustment";"control voltage 0-24VDC";"";"8";"104";"= 400";"+ 400SPS";"magnetc belt adjustment";"control voltage 0-24VDC";""
